voltage(V),current(A)
1.0000e+00,1.218e-07
9.9000e-01,1.198e-07
9.8000e-01,1.177e-07
9.7000e-01,1.157e-07
9.6000e-01,1.137e-07
9.5000e-01,1.118e-07
9.4000e-01,1.100e-07
9.3000e-01,1.082e-07
9.2000e-01,1.064e-07
9.1000e-01,1.046e-07
9.0000e-01,1.029e-07
8.9000e-01,1.012e-07
8.8000e-01,9.956e-08
8.7000e-01,9.792e-08
8.6000e-01,9.630e-08
8.5000e-01,9.474e-08
8.4000e-01,9.319e-08
8.3000e-01,9.164e-08
8.2000e-01,9.012e-08
8.1000e-01,8.863e-08
8.0000e-01,8.713e-08
7.9000e-01,8.568e-08
7.8000e-01,8.424e-08
7.7000e-01,8.281e-08
7.6000e-01,8.139e-08
7.5000e-01,8.000e-08
7.4000e-01,7.859e-08
7.3000e-01,7.725e-08
7.2000e-01,7.588e-08
7.1000e-01,7.456e-08
7.0000e-01,7.323e-08
6.9000e-01,7.191e-08
6.8000e-01,7.060e-08
6.7000e-01,6.932e-08
6.6000e-01,6.803e-08
6.5000e-01,6.679e-08
6.4000e-01,6.555e-08
6.3000e-01,6.432e-08
6.2000e-01,6.311e-08
6.1000e-01,6.189e-08
6.0000e-01,6.072e-08
5.9000e-01,5.953e-08
5.8000e-01,5.836e-08
5.7000e-01,5.722e-08
5.6000e-01,5.608e-08
5.5000e-01,5.494e-08
5.4000e-01,5.385e-08
5.3000e-01,5.276e-08
5.2000e-01,5.167e-08
5.1000e-01,5.059e-08
5.0000e-01,4.955e-08
4.9000e-01,4.848e-08
4.8000e-01,4.745e-08
4.7000e-01,4.644e-08
4.6000e-01,4.544e-08
4.5000e-01,4.444e-08
4.4000e-01,4.347e-08
4.3000e-01,4.249e-08
4.2000e-01,4.154e-08
4.1000e-01,4.061e-08
4.0000e-01,3.968e-08
3.9000e-01,3.877e-08
3.8000e-01,3.787e-08
3.7000e-01,3.698e-08
3.6000e-01,3.610e-08
3.5000e-01,3.525e-08
3.4000e-01,3.441e-08
3.3000e-01,3.356e-08
3.2000e-01,3.275e-08
3.1000e-01,3.194e-08
3.0000e-01,3.115e-08
2.9000e-01,3.037e-08
2.8000e-01,2.959e-08
2.7000e-01,2.884e-08
2.6000e-01,2.810e-08
2.5000e-01,2.736e-08
2.4000e-01,2.664e-08
2.3000e-01,2.594e-08
2.2000e-01,2.524e-08
2.1000e-01,2.456e-08
2.0000e-01,2.388e-08
1.9000e-01,2.322e-08
1.8000e-01,2.256e-08
1.7000e-01,2.191e-08
1.6000e-01,2.127e-08
1.5000e-01,2.064e-08
1.4000e-01,2.001e-08
1.3000e-01,1.939e-08
1.2000e-01,1.876e-08
1.1000e-01,1.812e-08
1.0000e-01,1.748e-08
9.0000e-02,1.681e-08
8.0000e-02,1.609e-08
7.0000e-02,1.532e-08
6.0000e-02,1.444e-08
5.0000e-02,1.340e-08
4.0000e-02,1.207e-08
3.0000e-02,1.031e-08
2.0000e-02,7.884e-09
1.0000e-02,4.530e-09
0.0000e+00,2.537e-63
