voltage(V),current(A)
1.0000e+00,8.114e-05
9.9000e-01,7.998e-05
9.8000e-01,7.882e-05
9.7000e-01,7.765e-05
9.6000e-01,7.648e-05
9.5000e-01,7.531e-05
9.4000e-01,7.413e-05
9.3000e-01,7.293e-05
9.2000e-01,7.173e-05
9.1000e-01,7.053e-05
9.0000e-01,6.932e-05
8.9000e-01,6.810e-05
8.8000e-01,6.688e-05
8.7000e-01,6.565e-05
8.6000e-01,6.442e-05
8.5000e-01,6.319e-05
8.4000e-01,6.195e-05
8.3000e-01,6.071e-05
8.2000e-01,5.946e-05
8.1000e-01,5.821e-05
8.0000e-01,5.696e-05
7.9000e-01,5.571e-05
7.8000e-01,5.445e-05
7.7000e-01,5.320e-05
7.6000e-01,5.194e-05
7.5000e-01,5.068e-05
7.4000e-01,4.942e-05
7.3000e-01,4.817e-05
7.2000e-01,4.691e-05
7.1000e-01,4.566e-05
7.0000e-01,4.441e-05
6.9000e-01,4.316e-05
6.8000e-01,4.192e-05
6.7000e-01,4.068e-05
6.6000e-01,3.945e-05
6.5000e-01,3.823e-05
6.4000e-01,3.701e-05
6.3000e-01,3.580e-05
6.2000e-01,3.460e-05
6.1000e-01,3.340e-05
6.0000e-01,3.221e-05
5.9000e-01,3.104e-05
5.8000e-01,2.988e-05
5.7000e-01,2.872e-05
5.6000e-01,2.758e-05
5.5000e-01,2.645e-05
5.4000e-01,2.533e-05
5.3000e-01,2.423e-05
5.2000e-01,2.314e-05
5.1000e-01,2.206e-05
5.0000e-01,2.100e-05
4.9000e-01,1.995e-05
4.8000e-01,1.892e-05
4.7000e-01,1.790e-05
4.6000e-01,1.691e-05
4.5000e-01,1.593e-05
4.4000e-01,1.497e-05
4.3000e-01,1.404e-05
4.2000e-01,1.312e-05
4.1000e-01,1.223e-05
4.0000e-01,1.137e-05
3.9000e-01,1.053e-05
3.8000e-01,9.719e-06
3.7000e-01,8.937e-06
3.6000e-01,8.185e-06
3.5000e-01,7.466e-06
3.4000e-01,6.779e-06
3.3000e-01,6.127e-06
3.2000e-01,5.510e-06
3.1000e-01,4.930e-06
3.0000e-01,4.387e-06
2.9000e-01,3.883e-06
2.8000e-01,3.417e-06
2.7000e-01,2.989e-06
2.6000e-01,2.599e-06
2.5000e-01,2.247e-06
2.4000e-01,1.931e-06
2.3000e-01,1.650e-06
2.2000e-01,1.401e-06
2.1000e-01,1.184e-06
2.0000e-01,9.947e-07
1.9000e-01,8.317e-07
1.8000e-01,6.922e-07
1.7000e-01,5.735e-07
1.6000e-01,4.731e-07
1.5000e-01,3.888e-07
1.4000e-01,3.182e-07
1.3000e-01,2.594e-07
1.2000e-01,2.106e-07
1.1000e-01,1.701e-07
1.0000e-01,1.368e-07
9.0000e-02,1.093e-07
8.0000e-02,8.661e-08
7.0000e-02,6.796e-08
6.0000e-02,5.258e-08
5.0000e-02,3.983e-08
4.0000e-02,2.917e-08
3.0000e-02,2.014e-08
2.0000e-02,1.239e-08
1.0000e-02,5.694e-09
0.0000e+00,2.537e-63
