voltage(V),current(A)
1.0000e+00,7.741e-10
9.9000e-01,7.514e-10
9.8000e-01,7.293e-10
9.7000e-01,7.078e-10
9.6000e-01,6.870e-10
9.5000e-01,6.667e-10
9.4000e-01,6.469e-10
9.3000e-01,6.277e-10
9.2000e-01,6.091e-10
9.1000e-01,5.909e-10
9.0000e-01,5.733e-10
8.9000e-01,5.561e-10
8.8000e-01,5.394e-10
8.7000e-01,5.231e-10
8.6000e-01,5.074e-10
8.5000e-01,4.920e-10
8.4000e-01,4.771e-10
8.3000e-01,4.625e-10
8.2000e-01,4.484e-10
8.1000e-01,4.347e-10
8.0000e-01,4.213e-10
7.9000e-01,4.084e-10
7.8000e-01,3.957e-10
7.7000e-01,3.835e-10
7.6000e-01,3.716e-10
7.5000e-01,3.600e-10
7.4000e-01,3.487e-10
7.3000e-01,3.377e-10
7.2000e-01,3.271e-10
7.1000e-01,3.168e-10
7.0000e-01,3.067e-10
6.9000e-01,2.969e-10
6.8000e-01,2.874e-10
6.7000e-01,2.782e-10
6.6000e-01,2.692e-10
6.5000e-01,2.605e-10
6.4000e-01,2.521e-10
6.3000e-01,2.438e-10
6.2000e-01,2.358e-10
6.1000e-01,2.281e-10
6.0000e-01,2.205e-10
5.9000e-01,2.132e-10
5.8000e-01,2.061e-10
5.7000e-01,1.992e-10
5.6000e-01,1.925e-10
5.5000e-01,1.860e-10
5.4000e-01,1.797e-10
5.3000e-01,1.735e-10
5.2000e-01,1.675e-10
5.1000e-01,1.618e-10
5.0000e-01,1.561e-10
4.9000e-01,1.507e-10
4.8000e-01,1.454e-10
4.7000e-01,1.402e-10
4.6000e-01,1.353e-10
4.5000e-01,1.304e-10
4.4000e-01,1.257e-10
4.3000e-01,1.212e-10
4.2000e-01,1.167e-10
4.1000e-01,1.124e-10
4.0000e-01,1.083e-10
3.9000e-01,1.042e-10
3.8000e-01,1.003e-10
3.7000e-01,9.653e-11
3.6000e-01,9.285e-11
3.5000e-01,8.929e-11
3.4000e-01,8.583e-11
3.3000e-01,8.247e-11
3.2000e-01,7.922e-11
3.1000e-01,7.607e-11
3.0000e-01,7.302e-11
2.9000e-01,7.006e-11
2.8000e-01,6.720e-11
2.7000e-01,6.442e-11
2.6000e-01,6.173e-11
2.5000e-01,5.912e-11
2.4000e-01,5.660e-11
2.3000e-01,5.415e-11
2.2000e-01,5.177e-11
2.1000e-01,4.946e-11
2.0000e-01,4.723e-11
1.9000e-01,4.505e-11
1.8000e-01,4.294e-11
1.7000e-01,4.088e-11
1.6000e-01,3.887e-11
1.5000e-01,3.691e-11
1.4000e-01,3.498e-11
1.3000e-01,3.309e-11
1.2000e-01,3.121e-11
1.1000e-01,2.935e-11
1.0000e-01,2.748e-11
9.0000e-02,2.558e-11
8.0000e-02,2.364e-11
7.0000e-02,2.161e-11
6.0000e-02,1.946e-11
5.0000e-02,1.714e-11
4.0000e-02,1.457e-11
3.0000e-02,1.168e-11
2.0000e-02,8.356e-12
1.0000e-02,4.498e-12
0.0000e+00,8.122e-64
