voltage(V),current(A)
1.0000e+00,4.773e-05
9.9000e-01,4.706e-05
9.8000e-01,4.639e-05
9.7000e-01,4.570e-05
9.6000e-01,4.501e-05
9.5000e-01,4.432e-05
9.4000e-01,4.361e-05
9.3000e-01,4.291e-05
9.2000e-01,4.219e-05
9.1000e-01,4.147e-05
9.0000e-01,4.075e-05
8.9000e-01,4.001e-05
8.8000e-01,3.928e-05
8.7000e-01,3.853e-05
8.6000e-01,3.778e-05
8.5000e-01,3.703e-05
8.4000e-01,3.627e-05
8.3000e-01,3.550e-05
8.2000e-01,3.472e-05
8.1000e-01,3.395e-05
8.0000e-01,3.316e-05
7.9000e-01,3.237e-05
7.8000e-01,3.158e-05
7.7000e-01,3.078e-05
7.6000e-01,2.997e-05
7.5000e-01,2.916e-05
7.4000e-01,2.835e-05
7.3000e-01,2.753e-05
7.2000e-01,2.670e-05
7.1000e-01,2.588e-05
7.0000e-01,2.505e-05
6.9000e-01,2.422e-05
6.8000e-01,2.339e-05
6.7000e-01,2.255e-05
6.6000e-01,2.172e-05
6.5000e-01,2.088e-05
6.4000e-01,2.005e-05
6.3000e-01,1.921e-05
6.2000e-01,1.838e-05
6.1000e-01,1.755e-05
6.0000e-01,1.672e-05
5.9000e-01,1.590e-05
5.8000e-01,1.508e-05
5.7000e-01,1.426e-05
5.6000e-01,1.345e-05
5.5000e-01,1.264e-05
5.4000e-01,1.184e-05
5.3000e-01,1.106e-05
5.2000e-01,1.028e-05
5.1000e-01,9.508e-06
5.0000e-01,8.755e-06
4.9000e-01,8.017e-06
4.8000e-01,7.299e-06
4.7000e-01,6.602e-06
4.6000e-01,5.929e-06
4.5000e-01,5.286e-06
4.4000e-01,4.673e-06
4.3000e-01,4.096e-06
4.2000e-01,3.556e-06
4.1000e-01,3.057e-06
4.0000e-01,2.602e-06
3.9000e-01,2.191e-06
3.8000e-01,1.825e-06
3.7000e-01,1.504e-06
3.6000e-01,1.226e-06
3.5000e-01,9.890e-07
3.4000e-01,7.899e-07
3.3000e-01,6.249e-07
3.2000e-01,4.900e-07
3.1000e-01,3.810e-07
3.0000e-01,2.940e-07
2.9000e-01,2.252e-07
2.8000e-01,1.713e-07
2.7000e-01,1.295e-07
2.6000e-01,9.730e-08
2.5000e-01,7.270e-08
2.4000e-01,5.403e-08
2.3000e-01,3.995e-08
2.2000e-01,2.940e-08
2.1000e-01,2.153e-08
2.0000e-01,1.571e-08
1.9000e-01,1.141e-08
1.8000e-01,8.255e-09
1.7000e-01,5.950e-09
1.6000e-01,4.273e-09
1.5000e-01,3.057e-09
1.4000e-01,2.179e-09
1.3000e-01,1.547e-09
1.2000e-01,1.094e-09
1.1000e-01,7.696e-10
1.0000e-01,5.384e-10
9.0000e-02,3.740e-10
8.0000e-02,2.576e-10
7.0000e-02,1.753e-10
6.0000e-02,1.174e-10
5.0000e-02,7.682e-11
4.0000e-02,4.847e-11
3.0000e-02,2.880e-11
2.0000e-02,1.526e-11
1.0000e-02,6.080e-12
0.0000e+00,8.122e-64
