voltage(V),current(A)
1.0000e+00,2.494e-07
9.9000e-01,2.444e-07
9.8000e-01,2.395e-07
9.7000e-01,2.348e-07
9.6000e-01,2.302e-07
9.5000e-01,2.257e-07
9.4000e-01,2.214e-07
9.3000e-01,2.172e-07
9.2000e-01,2.131e-07
9.1000e-01,2.091e-07
9.0000e-01,2.052e-07
8.9000e-01,2.014e-07
8.8000e-01,1.977e-07
8.7000e-01,1.941e-07
8.6000e-01,1.905e-07
8.5000e-01,1.870e-07
8.4000e-01,1.836e-07
8.3000e-01,1.803e-07
8.2000e-01,1.770e-07
8.1000e-01,1.737e-07
8.0000e-01,1.705e-07
7.9000e-01,1.674e-07
7.8000e-01,1.644e-07
7.7000e-01,1.613e-07
7.6000e-01,1.583e-07
7.5000e-01,1.554e-07
7.4000e-01,1.525e-07
7.3000e-01,1.496e-07
7.2000e-01,1.468e-07
7.1000e-01,1.440e-07
7.0000e-01,1.412e-07
6.9000e-01,1.385e-07
6.8000e-01,1.358e-07
6.7000e-01,1.332e-07
6.6000e-01,1.306e-07
6.5000e-01,1.281e-07
6.4000e-01,1.255e-07
6.3000e-01,1.230e-07
6.2000e-01,1.206e-07
6.1000e-01,1.182e-07
6.0000e-01,1.158e-07
5.9000e-01,1.134e-07
5.8000e-01,1.111e-07
5.7000e-01,1.088e-07
5.6000e-01,1.066e-07
5.5000e-01,1.043e-07
5.4000e-01,1.021e-07
5.3000e-01,9.998e-08
5.2000e-01,9.786e-08
5.1000e-01,9.575e-08
5.0000e-01,9.369e-08
4.9000e-01,9.164e-08
4.8000e-01,8.965e-08
4.7000e-01,8.766e-08
4.6000e-01,8.572e-08
4.5000e-01,8.382e-08
4.4000e-01,8.193e-08
4.3000e-01,8.007e-08
4.2000e-01,7.825e-08
4.1000e-01,7.646e-08
4.0000e-01,7.468e-08
3.9000e-01,7.296e-08
3.8000e-01,7.124e-08
3.7000e-01,6.956e-08
3.6000e-01,6.791e-08
3.5000e-01,6.629e-08
3.4000e-01,6.469e-08
3.3000e-01,6.312e-08
3.2000e-01,6.158e-08
3.1000e-01,6.006e-08
3.0000e-01,5.858e-08
2.9000e-01,5.712e-08
2.8000e-01,5.567e-08
2.7000e-01,5.426e-08
2.6000e-01,5.287e-08
2.5000e-01,5.151e-08
2.4000e-01,5.017e-08
2.3000e-01,4.886e-08
2.2000e-01,4.757e-08
2.1000e-01,4.629e-08
2.0000e-01,4.504e-08
1.9000e-01,4.381e-08
1.8000e-01,4.260e-08
1.7000e-01,4.141e-08
1.6000e-01,4.023e-08
1.5000e-01,3.905e-08
1.4000e-01,3.789e-08
1.3000e-01,3.674e-08
1.2000e-01,3.558e-08
1.1000e-01,3.440e-08
1.0000e-01,3.321e-08
9.0000e-02,3.196e-08
8.0000e-02,3.064e-08
7.0000e-02,2.920e-08
6.0000e-02,2.755e-08
5.0000e-02,2.557e-08
4.0000e-02,2.304e-08
3.0000e-02,1.967e-08
2.0000e-02,1.502e-08
1.0000e-02,8.615e-09
0.0000e+00,-3.414e-66
