voltage(V),current(A)
1.0000e+00,8.677e-05
9.9000e-01,8.564e-05
9.8000e-01,8.449e-05
9.7000e-01,8.334e-05
9.6000e-01,8.218e-05
9.5000e-01,8.102e-05
9.4000e-01,7.984e-05
9.3000e-01,7.866e-05
9.2000e-01,7.747e-05
9.1000e-01,7.628e-05
9.0000e-01,7.507e-05
8.9000e-01,7.386e-05
8.8000e-01,7.264e-05
8.7000e-01,7.142e-05
8.6000e-01,7.019e-05
8.5000e-01,6.895e-05
8.4000e-01,6.771e-05
8.3000e-01,6.647e-05
8.2000e-01,6.522e-05
8.1000e-01,6.396e-05
8.0000e-01,6.270e-05
7.9000e-01,6.143e-05
7.8000e-01,6.016e-05
7.7000e-01,5.889e-05
7.6000e-01,5.762e-05
7.5000e-01,5.634e-05
7.4000e-01,5.507e-05
7.3000e-01,5.379e-05
7.2000e-01,5.251e-05
7.1000e-01,5.123e-05
7.0000e-01,4.996e-05
6.9000e-01,4.868e-05
6.8000e-01,4.741e-05
6.7000e-01,4.614e-05
6.6000e-01,4.487e-05
6.5000e-01,4.361e-05
6.4000e-01,4.236e-05
6.3000e-01,4.111e-05
6.2000e-01,3.986e-05
6.1000e-01,3.863e-05
6.0000e-01,3.740e-05
5.9000e-01,3.618e-05
5.8000e-01,3.496e-05
5.7000e-01,3.376e-05
5.6000e-01,3.256e-05
5.5000e-01,3.137e-05
5.4000e-01,3.020e-05
5.3000e-01,2.903e-05
5.2000e-01,2.787e-05
5.1000e-01,2.673e-05
5.0000e-01,2.560e-05
4.9000e-01,2.448e-05
4.8000e-01,2.337e-05
4.7000e-01,2.228e-05
4.6000e-01,2.120e-05
4.5000e-01,2.014e-05
4.4000e-01,1.909e-05
4.3000e-01,1.806e-05
4.2000e-01,1.705e-05
4.1000e-01,1.606e-05
4.0000e-01,1.509e-05
3.9000e-01,1.414e-05
3.8000e-01,1.321e-05
3.7000e-01,1.231e-05
3.6000e-01,1.143e-05
3.5000e-01,1.057e-05
3.4000e-01,9.743e-06
3.3000e-01,8.944e-06
3.2000e-01,8.175e-06
3.1000e-01,7.437e-06
3.0000e-01,6.732e-06
2.9000e-01,6.060e-06
2.8000e-01,5.425e-06
2.7000e-01,4.826e-06
2.6000e-01,4.266e-06
2.5000e-01,3.744e-06
2.4000e-01,3.263e-06
2.3000e-01,2.822e-06
2.2000e-01,2.422e-06
2.1000e-01,2.062e-06
2.0000e-01,1.742e-06
1.9000e-01,1.460e-06
1.8000e-01,1.215e-06
1.7000e-01,1.003e-06
1.6000e-01,8.230e-07
1.5000e-01,6.711e-07
1.4000e-01,5.443e-07
1.3000e-01,4.394e-07
1.2000e-01,3.532e-07
1.1000e-01,2.829e-07
1.0000e-01,2.257e-07
9.0000e-02,1.794e-07
8.0000e-02,1.420e-07
7.0000e-02,1.116e-07
6.0000e-02,8.687e-08
5.0000e-02,6.650e-08
4.0000e-02,4.945e-08
3.0000e-02,3.483e-08
2.0000e-02,2.197e-08
1.0000e-02,1.041e-08
0.0000e+00,-3.414e-66
