voltage(V),current(A)
1.0000e+00,3.702e-08
9.9000e-01,3.605e-08
9.8000e-01,3.511e-08
9.7000e-01,3.421e-08
9.6000e-01,3.334e-08
9.5000e-01,3.252e-08
9.4000e-01,3.173e-08
9.3000e-01,3.097e-08
9.2000e-01,3.024e-08
9.1000e-01,2.955e-08
9.0000e-01,2.888e-08
8.9000e-01,2.824e-08
8.8000e-01,2.762e-08
8.7000e-01,2.703e-08
8.6000e-01,2.646e-08
8.5000e-01,2.590e-08
8.4000e-01,2.537e-08
8.3000e-01,2.485e-08
8.2000e-01,2.435e-08
8.1000e-01,2.386e-08
8.0000e-01,2.339e-08
7.9000e-01,2.293e-08
7.8000e-01,2.248e-08
7.7000e-01,2.204e-08
7.6000e-01,2.161e-08
7.5000e-01,2.119e-08
7.4000e-01,2.078e-08
7.3000e-01,2.038e-08
7.2000e-01,1.999e-08
7.1000e-01,1.960e-08
7.0000e-01,1.922e-08
6.9000e-01,1.885e-08
6.8000e-01,1.849e-08
6.7000e-01,1.813e-08
6.6000e-01,1.778e-08
6.5000e-01,1.743e-08
6.4000e-01,1.709e-08
6.3000e-01,1.676e-08
6.2000e-01,1.643e-08
6.1000e-01,1.611e-08
6.0000e-01,1.579e-08
5.9000e-01,1.548e-08
5.8000e-01,1.517e-08
5.7000e-01,1.486e-08
5.6000e-01,1.457e-08
5.5000e-01,1.427e-08
5.4000e-01,1.398e-08
5.3000e-01,1.370e-08
5.2000e-01,1.342e-08
5.1000e-01,1.314e-08
5.0000e-01,1.287e-08
4.9000e-01,1.260e-08
4.8000e-01,1.233e-08
4.7000e-01,1.207e-08
4.6000e-01,1.181e-08
4.5000e-01,1.156e-08
4.4000e-01,1.131e-08
4.3000e-01,1.106e-08
4.2000e-01,1.082e-08
4.1000e-01,1.058e-08
4.0000e-01,1.034e-08
3.9000e-01,1.011e-08
3.8000e-01,9.881e-09
3.7000e-01,9.654e-09
3.6000e-01,9.431e-09
3.5000e-01,9.210e-09
3.4000e-01,8.992e-09
3.3000e-01,8.777e-09
3.2000e-01,8.565e-09
3.1000e-01,8.355e-09
3.0000e-01,8.149e-09
2.9000e-01,7.945e-09
2.8000e-01,7.743e-09
2.7000e-01,7.544e-09
2.6000e-01,7.347e-09
2.5000e-01,7.152e-09
2.4000e-01,6.960e-09
2.3000e-01,6.769e-09
2.2000e-01,6.581e-09
2.1000e-01,6.394e-09
2.0000e-01,6.208e-09
1.9000e-01,6.024e-09
1.8000e-01,5.840e-09
1.7000e-01,5.657e-09
1.6000e-01,5.475e-09
1.5000e-01,5.291e-09
1.4000e-01,5.107e-09
1.3000e-01,4.920e-09
1.2000e-01,4.729e-09
1.1000e-01,4.534e-09
1.0000e-01,4.331e-09
9.0000e-02,4.118e-09
8.0000e-02,3.889e-09
7.0000e-02,3.639e-09
6.0000e-02,3.359e-09
5.0000e-02,3.035e-09
4.0000e-02,2.650e-09
3.0000e-02,2.182e-09
2.0000e-02,1.603e-09
1.0000e-02,8.850e-10
0.0000e+00,3.879e-76
