voltage(V),current(A)
1.0000e+00,7.246e-05
9.9000e-01,7.135e-05
9.8000e-01,7.024e-05
9.7000e-01,6.913e-05
9.6000e-01,6.802e-05
9.5000e-01,6.690e-05
9.4000e-01,6.579e-05
9.3000e-01,6.467e-05
9.2000e-01,6.355e-05
9.1000e-01,6.242e-05
9.0000e-01,6.130e-05
8.9000e-01,6.017e-05
8.8000e-01,5.904e-05
8.7000e-01,5.791e-05
8.6000e-01,5.678e-05
8.5000e-01,5.564e-05
8.4000e-01,5.450e-05
8.3000e-01,5.336e-05
8.2000e-01,5.222e-05
8.1000e-01,5.108e-05
8.0000e-01,4.993e-05
7.9000e-01,4.879e-05
7.8000e-01,4.764e-05
7.7000e-01,4.649e-05
7.6000e-01,4.534e-05
7.5000e-01,4.418e-05
7.4000e-01,4.303e-05
7.3000e-01,4.188e-05
7.2000e-01,4.072e-05
7.1000e-01,3.957e-05
7.0000e-01,3.841e-05
6.9000e-01,3.726e-05
6.8000e-01,3.611e-05
6.7000e-01,3.497e-05
6.6000e-01,3.383e-05
6.5000e-01,3.269e-05
6.4000e-01,3.156e-05
6.3000e-01,3.043e-05
6.2000e-01,2.932e-05
6.1000e-01,2.821e-05
6.0000e-01,2.710e-05
5.9000e-01,2.601e-05
5.8000e-01,2.493e-05
5.7000e-01,2.385e-05
5.6000e-01,2.279e-05
5.5000e-01,2.174e-05
5.4000e-01,2.070e-05
5.3000e-01,1.967e-05
5.2000e-01,1.865e-05
5.1000e-01,1.765e-05
5.0000e-01,1.666e-05
4.9000e-01,1.569e-05
4.8000e-01,1.473e-05
4.7000e-01,1.380e-05
4.6000e-01,1.288e-05
4.5000e-01,1.199e-05
4.4000e-01,1.112e-05
4.3000e-01,1.027e-05
4.2000e-01,9.454e-06
4.1000e-01,8.666e-06
4.0000e-01,7.909e-06
3.9000e-01,7.186e-06
3.8000e-01,6.498e-06
3.7000e-01,5.846e-06
3.6000e-01,5.234e-06
3.5000e-01,4.661e-06
3.4000e-01,4.128e-06
3.3000e-01,3.636e-06
3.2000e-01,3.184e-06
3.1000e-01,2.773e-06
3.0000e-01,2.401e-06
2.9000e-01,2.067e-06
2.8000e-01,1.770e-06
2.7000e-01,1.506e-06
2.6000e-01,1.275e-06
2.5000e-01,1.073e-06
2.4000e-01,8.986e-07
2.3000e-01,7.483e-07
2.2000e-01,6.198e-07
2.1000e-01,5.107e-07
2.0000e-01,4.187e-07
1.9000e-01,3.414e-07
1.8000e-01,2.770e-07
1.7000e-01,2.235e-07
1.6000e-01,1.794e-07
1.5000e-01,1.432e-07
1.4000e-01,1.137e-07
1.3000e-01,8.976e-08
1.2000e-01,7.041e-08
1.1000e-01,5.486e-08
1.0000e-01,4.244e-08
9.0000e-02,3.255e-08
8.0000e-02,2.472e-08
7.0000e-02,1.854e-08
6.0000e-02,1.367e-08
5.0000e-02,9.836e-09
4.0000e-02,6.822e-09
3.0000e-02,4.450e-09
2.0000e-02,2.584e-09
1.0000e-02,1.125e-09
0.0000e+00,3.879e-76
