voltage(V),current(A)
1.0000e+00,1.445e-07
9.9000e-01,1.421e-07
9.8000e-01,1.398e-07
9.7000e-01,1.374e-07
9.6000e-01,1.352e-07
9.5000e-01,1.330e-07
9.4000e-01,1.309e-07
9.3000e-01,1.288e-07
9.2000e-01,1.267e-07
9.1000e-01,1.247e-07
9.0000e-01,1.227e-07
8.9000e-01,1.208e-07
8.8000e-01,1.189e-07
8.7000e-01,1.171e-07
8.6000e-01,1.152e-07
8.5000e-01,1.134e-07
8.4000e-01,1.116e-07
8.3000e-01,1.099e-07
8.2000e-01,1.081e-07
8.1000e-01,1.064e-07
8.0000e-01,1.047e-07
7.9000e-01,1.031e-07
7.8000e-01,1.014e-07
7.7000e-01,9.976e-08
7.6000e-01,9.815e-08
7.5000e-01,9.656e-08
7.4000e-01,9.494e-08
7.3000e-01,9.340e-08
7.2000e-01,9.185e-08
7.1000e-01,9.031e-08
7.0000e-01,8.878e-08
6.9000e-01,8.726e-08
6.8000e-01,8.580e-08
6.7000e-01,8.432e-08
6.6000e-01,8.288e-08
6.5000e-01,8.143e-08
6.4000e-01,7.999e-08
6.3000e-01,7.859e-08
6.2000e-01,7.718e-08
6.1000e-01,7.578e-08
6.0000e-01,7.444e-08
5.9000e-01,7.307e-08
5.8000e-01,7.173e-08
5.7000e-01,7.041e-08
5.6000e-01,6.910e-08
5.5000e-01,6.780e-08
5.4000e-01,6.651e-08
5.3000e-01,6.524e-08
5.2000e-01,6.400e-08
5.1000e-01,6.275e-08
5.0000e-01,6.151e-08
4.9000e-01,6.031e-08
4.8000e-01,5.912e-08
4.7000e-01,5.793e-08
4.6000e-01,5.676e-08
4.5000e-01,5.561e-08
4.4000e-01,5.446e-08
4.3000e-01,5.334e-08
4.2000e-01,5.222e-08
4.1000e-01,5.112e-08
4.0000e-01,5.003e-08
3.9000e-01,4.898e-08
3.8000e-01,4.792e-08
3.7000e-01,4.688e-08
3.6000e-01,4.585e-08
3.5000e-01,4.484e-08
3.4000e-01,4.385e-08
3.3000e-01,4.286e-08
3.2000e-01,4.189e-08
3.1000e-01,4.093e-08
3.0000e-01,4.000e-08
2.9000e-01,3.907e-08
2.8000e-01,3.815e-08
2.7000e-01,3.725e-08
2.6000e-01,3.637e-08
2.5000e-01,3.550e-08
2.4000e-01,3.463e-08
2.3000e-01,3.379e-08
2.2000e-01,3.295e-08
2.1000e-01,3.212e-08
2.0000e-01,3.131e-08
1.9000e-01,3.051e-08
1.8000e-01,2.972e-08
1.7000e-01,2.894e-08
1.6000e-01,2.816e-08
1.5000e-01,2.739e-08
1.4000e-01,2.662e-08
1.3000e-01,2.585e-08
1.2000e-01,2.508e-08
1.1000e-01,2.429e-08
1.0000e-01,2.348e-08
9.0000e-02,2.264e-08
8.0000e-02,2.174e-08
7.0000e-02,2.075e-08
6.0000e-02,1.961e-08
5.0000e-02,1.823e-08
4.0000e-02,1.647e-08
3.0000e-02,1.409e-08
2.0000e-02,1.078e-08
1.0000e-02,6.200e-09
0.0000e+00,-3.812e-66
