voltage(V),current(A)
1.0000e+00,8.302e-05
9.9000e-01,8.186e-05
9.8000e-01,8.069e-05
9.7000e-01,7.951e-05
9.6000e-01,7.833e-05
9.5000e-01,7.714e-05
9.4000e-01,7.594e-05
9.3000e-01,7.475e-05
9.2000e-01,7.354e-05
9.1000e-01,7.233e-05
9.0000e-01,7.112e-05
8.9000e-01,6.990e-05
8.8000e-01,6.867e-05
8.7000e-01,6.745e-05
8.6000e-01,6.621e-05
8.5000e-01,6.498e-05
8.4000e-01,6.374e-05
8.3000e-01,6.250e-05
8.2000e-01,6.125e-05
8.1000e-01,6.001e-05
8.0000e-01,5.876e-05
7.9000e-01,5.750e-05
7.8000e-01,5.625e-05
7.7000e-01,5.500e-05
7.6000e-01,5.374e-05
7.5000e-01,5.249e-05
7.4000e-01,5.124e-05
7.3000e-01,4.999e-05
7.2000e-01,4.874e-05
7.1000e-01,4.749e-05
7.0000e-01,4.624e-05
6.9000e-01,4.500e-05
6.8000e-01,4.377e-05
6.7000e-01,4.254e-05
6.6000e-01,4.131e-05
6.5000e-01,4.010e-05
6.4000e-01,3.888e-05
6.3000e-01,3.768e-05
6.2000e-01,3.649e-05
6.1000e-01,3.530e-05
6.0000e-01,3.412e-05
5.9000e-01,3.295e-05
5.8000e-01,3.179e-05
5.7000e-01,3.064e-05
5.6000e-01,2.951e-05
5.5000e-01,2.838e-05
5.4000e-01,2.726e-05
5.3000e-01,2.616e-05
5.2000e-01,2.506e-05
5.1000e-01,2.398e-05
5.0000e-01,2.291e-05
4.9000e-01,2.186e-05
4.8000e-01,2.082e-05
4.7000e-01,1.979e-05
4.6000e-01,1.878e-05
4.5000e-01,1.779e-05
4.4000e-01,1.681e-05
4.3000e-01,1.585e-05
4.2000e-01,1.491e-05
4.1000e-01,1.399e-05
4.0000e-01,1.309e-05
3.9000e-01,1.222e-05
3.8000e-01,1.136e-05
3.7000e-01,1.054e-05
3.6000e-01,9.732e-06
3.5000e-01,8.956e-06
3.4000e-01,8.207e-06
3.3000e-01,7.489e-06
3.2000e-01,6.801e-06
3.1000e-01,6.146e-06
3.0000e-01,5.525e-06
2.9000e-01,4.938e-06
2.8000e-01,4.388e-06
2.7000e-01,3.875e-06
2.6000e-01,3.399e-06
2.5000e-01,2.962e-06
2.4000e-01,2.563e-06
2.3000e-01,2.203e-06
2.2000e-01,1.879e-06
2.1000e-01,1.592e-06
2.0000e-01,1.340e-06
1.9000e-01,1.120e-06
1.8000e-01,9.305e-07
1.7000e-01,7.686e-07
1.6000e-01,6.316e-07
1.5000e-01,5.165e-07
1.4000e-01,4.205e-07
1.3000e-01,3.410e-07
1.2000e-01,2.755e-07
1.1000e-01,2.217e-07
1.0000e-01,1.777e-07
9.0000e-02,1.417e-07
8.0000e-02,1.124e-07
7.0000e-02,8.833e-08
6.0000e-02,6.858e-08
5.0000e-02,5.222e-08
4.0000e-02,3.850e-08
3.0000e-02,2.680e-08
2.0000e-02,1.663e-08
1.0000e-02,7.716e-09
0.0000e+00,-3.812e-66
