voltage(V),current(A)
1.0000e+00,3.803e-09
9.9000e-01,3.728e-09
9.8000e-01,3.655e-09
9.7000e-01,3.584e-09
9.6000e-01,3.514e-09
9.5000e-01,3.447e-09
9.4000e-01,3.381e-09
9.3000e-01,3.317e-09
9.2000e-01,3.254e-09
9.1000e-01,3.193e-09
9.0000e-01,3.134e-09
8.9000e-01,3.075e-09
8.8000e-01,3.018e-09
8.7000e-01,2.963e-09
8.6000e-01,2.908e-09
8.5000e-01,2.855e-09
8.4000e-01,2.802e-09
8.3000e-01,2.751e-09
8.2000e-01,2.701e-09
8.1000e-01,2.652e-09
8.0000e-01,2.603e-09
7.9000e-01,2.556e-09
7.8000e-01,2.510e-09
7.7000e-01,2.464e-09
7.6000e-01,2.419e-09
7.5000e-01,2.375e-09
7.4000e-01,2.332e-09
7.3000e-01,2.289e-09
7.2000e-01,2.248e-09
7.1000e-01,2.207e-09
7.0000e-01,2.166e-09
6.9000e-01,2.127e-09
6.8000e-01,2.088e-09
6.7000e-01,2.050e-09
6.6000e-01,2.012e-09
6.5000e-01,1.975e-09
6.4000e-01,1.938e-09
6.3000e-01,1.903e-09
6.2000e-01,1.867e-09
6.1000e-01,1.833e-09
6.0000e-01,1.798e-09
5.9000e-01,1.765e-09
5.8000e-01,1.732e-09
5.7000e-01,1.699e-09
5.6000e-01,1.667e-09
5.5000e-01,1.635e-09
5.4000e-01,1.604e-09
5.3000e-01,1.573e-09
5.2000e-01,1.543e-09
5.1000e-01,1.513e-09
5.0000e-01,1.483e-09
4.9000e-01,1.454e-09
4.8000e-01,1.425e-09
4.7000e-01,1.397e-09
4.6000e-01,1.369e-09
4.5000e-01,1.342e-09
4.4000e-01,1.315e-09
4.3000e-01,1.288e-09
4.2000e-01,1.261e-09
4.1000e-01,1.235e-09
4.0000e-01,1.209e-09
3.9000e-01,1.184e-09
3.8000e-01,1.159e-09
3.7000e-01,1.134e-09
3.6000e-01,1.109e-09
3.5000e-01,1.085e-09
3.4000e-01,1.061e-09
3.3000e-01,1.037e-09
3.2000e-01,1.014e-09
3.1000e-01,9.907e-10
3.0000e-01,9.678e-10
2.9000e-01,9.452e-10
2.8000e-01,9.227e-10
2.7000e-01,9.005e-10
2.6000e-01,8.785e-10
2.5000e-01,8.568e-10
2.4000e-01,8.352e-10
2.3000e-01,8.138e-10
2.2000e-01,7.925e-10
2.1000e-01,7.714e-10
2.0000e-01,7.504e-10
1.9000e-01,7.294e-10
1.8000e-01,7.085e-10
1.7000e-01,6.876e-10
1.6000e-01,6.667e-10
1.5000e-01,6.456e-10
1.4000e-01,6.242e-10
1.3000e-01,6.025e-10
1.2000e-01,5.803e-10
1.1000e-01,5.574e-10
1.0000e-01,5.335e-10
9.0000e-02,5.082e-10
8.0000e-02,4.809e-10
7.0000e-02,4.509e-10
6.0000e-02,4.170e-10
5.0000e-02,3.776e-10
4.0000e-02,3.303e-10
3.0000e-02,2.725e-10
2.0000e-02,2.006e-10
1.0000e-02,1.109e-10
0.0000e+00,7.764e-64
