voltage(V),current(A)
1.0000e+00,6.563e-05
9.9000e-01,6.455e-05
9.8000e-01,6.347e-05
9.7000e-01,6.238e-05
9.6000e-01,6.129e-05
9.5000e-01,6.020e-05
9.4000e-01,5.910e-05
9.3000e-01,5.800e-05
9.2000e-01,5.690e-05
9.1000e-01,5.579e-05
9.0000e-01,5.468e-05
8.9000e-01,5.357e-05
8.8000e-01,5.246e-05
8.7000e-01,5.134e-05
8.6000e-01,5.022e-05
8.5000e-01,4.909e-05
8.4000e-01,4.797e-05
8.3000e-01,4.683e-05
8.2000e-01,4.570e-05
8.1000e-01,4.456e-05
8.0000e-01,4.343e-05
7.9000e-01,4.228e-05
7.8000e-01,4.114e-05
7.7000e-01,3.999e-05
7.6000e-01,3.884e-05
7.5000e-01,3.769e-05
7.4000e-01,3.653e-05
7.3000e-01,3.538e-05
7.2000e-01,3.423e-05
7.1000e-01,3.307e-05
7.0000e-01,3.192e-05
6.9000e-01,3.077e-05
6.8000e-01,2.963e-05
6.7000e-01,2.849e-05
6.6000e-01,2.735e-05
6.5000e-01,2.623e-05
6.4000e-01,2.511e-05
6.3000e-01,2.401e-05
6.2000e-01,2.291e-05
6.1000e-01,2.183e-05
6.0000e-01,2.076e-05
5.9000e-01,1.970e-05
5.8000e-01,1.866e-05
5.7000e-01,1.763e-05
5.6000e-01,1.662e-05
5.5000e-01,1.563e-05
5.4000e-01,1.465e-05
5.3000e-01,1.370e-05
5.2000e-01,1.276e-05
5.1000e-01,1.185e-05
5.0000e-01,1.097e-05
4.9000e-01,1.011e-05
4.8000e-01,9.278e-06
4.7000e-01,8.479e-06
4.6000e-01,7.714e-06
4.5000e-01,6.985e-06
4.4000e-01,6.294e-06
4.3000e-01,5.643e-06
4.2000e-01,5.032e-06
4.1000e-01,4.464e-06
4.0000e-01,3.938e-06
3.9000e-01,3.456e-06
3.8000e-01,3.016e-06
3.7000e-01,2.618e-06
3.6000e-01,2.260e-06
3.5000e-01,1.940e-06
3.4000e-01,1.657e-06
3.3000e-01,1.408e-06
3.2000e-01,1.191e-06
3.1000e-01,1.002e-06
3.0000e-01,8.385e-07
2.9000e-01,6.984e-07
2.8000e-01,5.788e-07
2.7000e-01,4.774e-07
2.6000e-01,3.917e-07
2.5000e-01,3.197e-07
2.4000e-01,2.596e-07
2.3000e-01,2.096e-07
2.2000e-01,1.683e-07
2.1000e-01,1.344e-07
2.0000e-01,1.067e-07
1.9000e-01,8.417e-08
1.8000e-01,6.602e-08
1.7000e-01,5.148e-08
1.6000e-01,3.989e-08
1.5000e-01,3.072e-08
1.4000e-01,2.352e-08
1.3000e-01,1.789e-08
1.2000e-01,1.352e-08
1.1000e-01,1.015e-08
1.0000e-01,7.565e-09
9.0000e-02,5.592e-09
8.0000e-02,4.093e-09
7.0000e-02,2.960e-09
6.0000e-02,2.105e-09
5.0000e-02,1.462e-09
4.0000e-02,9.796e-10
3.0000e-02,6.174e-10
2.0000e-02,3.465e-10
1.0000e-02,1.459e-10
0.0000e+00,7.764e-64
